key,date,H/A,team,opp_team,pinnacle_line,pinnacle_odds,5dimes_line,5dimes_odds,heritage_line,heritage_odds,bovada_line,bovada_odds,betonline_line,betonline_odds,bet365_line,bet365_odds,bodog_line,bodog_odds
20091018_Cleveland_Pittsburgh,20091018,away,Cleveland,Pittsburgh,+14,-112,+14,-110,,,+14.5,-115,+14,-110,,,+14,-110
20091018_Cleveland_Pittsburgh,20091018,home,Pittsburgh,Cleveland,-14,+104,-14,+100,,,-14.5,-105,-14,-110,,,-14,-110
20091018_Carolina_Tampa Bay,20091018,away,Carolina,Tampa Bay,-3,-116,-3,-118,,,-3,-135,-3,-125,,,-3,-125
20091018_Carolina_Tampa Bay,20091018,home,Tampa Bay,Carolina,+3,+107,+3,+108,,,+3,+115,+3,+105,,,+3,+105
20091018_Kansas City_Washington,20091018,away,Kansas City,Washington,+6.5,-102,+6.5,-110,,,+6.5,-110,+6.5,-110,,,+6.5,-110
20091018_Kansas City_Washington,20091018,home,Washington,Kansas City,-6.5,-106,-6.5,-110,,,-6.5,-110,-6.5,-110,,,-6.5,-110
20091018_Philadelphia_Oakland,20091018,away,Philadelphia,Oakland,-14,-104,-14,-105,,,-15.5,-110,-14,-110,,,-14,-110
20091018_Philadelphia_Oakland,20091018,home,Oakland,Philadelphia,+14,-104,+14,-105,,,+15.5,-110,+14,-110,,,+14,-110
20091018_Arizona_Seattle,20091018,away,Arizona,Seattle,+3,-118,+3,-110,,,+3,-115,+3,-120,,,+3,-125
20091018_Arizona_Seattle,20091018,home,Seattle,Arizona,-3,+109,-3,+100,,,-3,-105,-3,+100,,,-3,+105
20091018_Tennessee_New England,20091018,away,Tennessee,New England,+9.5,-113,+9,-102,,,+9.5,-110,+9,-110,,,+9,-110
20091018_Tennessee_New England,20091018,home,New England,Tennessee,-9.5,+104,-9,-108,,,-9.5,-110,-9,-110,,,-9,-110
20091018_Buffalo_N.Y. Jets,20091018,away,Buffalo,N.Y. Jets,+9.5,-109,+9,-105,,,+10,-115,+9,-110,,,+9,-110
20091018_Buffalo_N.Y. Jets,20091018,home,N.Y. Jets,Buffalo,-9.5,+101,-9,-105,,,-10,-105,-9,-110,,,-9,-110
